,dist_bars,type,method
K38,0.802583,all,unifrac_uw
L38,0.758776,all,unifrac_uw
M38,0.774546,all,unifrac_uw
N38,0.812572,all,unifrac_uw
O38,0.747433,all,unifrac_uw
P38,0.729546,all,unifrac_uw
Q38,0.791844,all,unifrac_uw
R38,0.746731,all,unifrac_uw
S38,0.717948,all,unifrac_uw
T38,0.712033,all,unifrac_uw
V38,0.108062,twins,kegg
X38,0.026194,twins,kegg
Z38,0.039318,twins,kegg
B39,0.138202,twins,kegg
D39,0.0166,twins,kegg
F39,0.033312,twins,kegg
G39,0.074294,family,kegg
H39,0.122047,family,kegg
K39,0.108062,family,kegg
L39,0.074294,family,kegg
M39,0.108062,family,kegg
O39,0.122047,family,kegg
Q39,0.026194,family,kegg
R39,0.029847,family,kegg
S39,0.026194,family,kegg
U39,0.0522,family,kegg
V39,0.029847,family,kegg
W39,0.0522,family,kegg
Y39,0.051413,family,kegg
Z39,0.044055,family,kegg
B40,0.039318,family,kegg
D40,0.044055,family,kegg
F40,0.039318,family,kegg
G40,0.051413,family,kegg
H40,0.033739,family,kegg
I40,0.106119,family,kegg
K40,0.138202,family,kegg
M40,0.106119,family,kegg
O40,0.138202,family,kegg
P40,0.033739,family,kegg
R40,0.0166,family,kegg
S40,0.021319,family,kegg
T40,0.0166,family,kegg
V40,0.021629,family,kegg
W40,0.021319,family,kegg
X40,0.021629,family,kegg
A41,0.033312,family,kegg
B41,0.012789,family,kegg
C41,0.033312,family,kegg
E41,0.024785,family,kegg
F41,0.012789,family,kegg
G41,0.024785,family,kegg
I41,0.050924,all,kegg
J41,0.028237,all,kegg
K41,0.02929,all,kegg
L41,0.095969,all,kegg
M41,0.018926,all,kegg
N41,0.029998,all,kegg
O41,0.041548,all,kegg
P41,0.085027,all,kegg
Q41,0.032989,all,kegg
R41,0.017544,all,kegg
S41,0.03815,all,kegg
T41,0.019184,all,kegg
U41,0.025958,all,kegg
V41,0.031058,all,kegg
W41,0.031341,all,kegg
X41,0.063999,all,kegg
Y41,0.082394,all,kegg
Z41,0.111262,all,kegg
A42,0.07859,all,kegg
B42,0.080956,all,kegg
C42,0.087885,all,kegg
D42,0.057504,all,kegg
E42,0.077683,all,kegg
F42,0.07826,all,kegg
G42,0.081984,all,kegg
H42,0.07197,all,kegg
I42,0.090258,all,kegg
J42,0.063367,all,kegg
K42,0.047544,all,kegg
L42,0.063113,all,kegg
M42,0.101241,all,kegg
N42,0.139299,all,kegg
O42,0.157249,all,kegg
P42,0.036864,all,kegg
Q42,0.123718,all,kegg
R42,0.140018,all,kegg
S42,0.065834,all,kegg
T42,0.038676,all,kegg
U42,0.08131,all,kegg
V42,0.106376,all,kegg
W42,0.091047,all,kegg
X42,0.131845,all,kegg
Y42,0.093174,all,kegg
Z42,0.077297,all,kegg
A43,0.078615,all,kegg
B43,0.049946,all,kegg
C43,0.059402,all,kegg
D43,0.074273,all,kegg
E43,0.045326,all,kegg
F43,0.048698,all,kegg
G43,0.047327,all,kegg
H43,0.057504,all,kegg
I43,0.065834,all,kegg
J43,0.02504,all,kegg
K43,0.037853,all,kegg
L43,0.046646,all,kegg
M43,0.021305,all,kegg
N43,0.019724,all,kegg
O43,0.020458,all,kegg
P43,0.041548,all,kegg
Q43,0.071388,all,kegg
R43,0.099743,all,kegg
S43,0.126075,all,kegg
T43,0.033048,all,kegg
U43,0.091641,all,kegg
V43,0.090008,all,kegg
W43,0.077683,all,kegg
X43,0.038676,all,kegg
Y43,0.04933,all,kegg
Z43,0.07838,all,kegg
A44,0.091822,all,kegg
B44,0.048642,all,kegg
C44,0.044015,all,kegg
D44,0.046651,all,kegg
E44,0.085027,all,kegg
F44,0.036989,all,kegg
G44,0.041756,all,kegg
H44,0.070242,all,kegg
I44,0.084895,all,kegg
J44,0.052136,all,kegg
K44,0.049653,all,kegg
L44,0.07197,all,kegg
M44,0.091047,all,kegg
N44,0.047145,all,kegg
O44,0.038244,all,kegg
P44,0.038743,all,kegg
Q44,0.030067,all,kegg
R44,0.029539,all,kegg
S44,0.049756,all,kegg
T44,0.03815,all,kegg
U44,0.059659,all,kegg
V44,0.05924,all,kegg
W44,0.032894,all,kegg
X44,0.035784,all,kegg
Y44,0.07826,all,kegg
Z44,0.08131,all,kegg
A45,0.02504,all,kegg
B45,0.04933,all,kegg
C45,0.027472,all,kegg
D45,0.047145,all,kegg
E45,0.034482,all,kegg
F45,0.019837,all,kegg
G45,0.028315,all,kegg
H45,0.018717,all,kegg
I45,0.032989,all,kegg
J45,0.047475,all,kegg
K45,0.118075,all,kegg
L45,0.033695,all,kegg
M45,0.034204,all,kegg
N45,0.082394,all,kegg
O45,0.139299,all,kegg
P45,0.059402,all,kegg
Q45,0.099743,all,kegg
R45,0.030263,all,kegg
S45,0.041756,all,kegg
T45,0.029186,all,kegg
U45,0.031974,all,kegg
V45,0.037662,all,kegg
W45,0.052968,all,kegg
X45,0.028237,all,kegg
Y45,0.090708,all,kegg
Z45,0.085119,all,kegg
A46,0.060436,all,kegg
B46,0.057889,all,kegg
C46,0.063999,all,kegg
D46,0.101241,all,kegg
E46,0.049946,all,kegg
F46,0.071388,all,kegg
G46,0.045934,all,kegg
H46,0.036989,all,kegg
I46,0.056595,all,kegg
J46,0.037946,all,kegg
K46,0.027741,all,kegg
L46,0.05461,all,kegg
M46,0.050924,all,kegg
N46,0.056595,all,kegg
O46,0.029186,all,kegg
P46,0.021579,all,kegg
Q46,0.019054,all,kegg
R46,0.090258,all,kegg
S46,0.131845,all,kegg
T46,0.046646,all,kegg
U46,0.091822,all,kegg
V46,0.034482,all,kegg
W46,0.01848,all,kegg
X46,0.038743,all,kegg
Y46,0.023062,all,kegg
Z46,0.037044,all,kegg
A47,0.041809,all,kegg
B47,0.019184,all,kegg
C47,0.085119,all,kegg
D47,0.118075,all,kegg
E47,0.092956,all,kegg
F47,0.106537,all,kegg
G47,0.07859,all,kegg
H47,0.036864,all,kegg
I47,0.045326,all,kegg
J47,0.033048,all,kegg
K47,0.05924,all,kegg
L47,0.086178,all,kegg
M47,0.084895,all,kegg
N47,0.06639,all,kegg
O47,0.058199,all,kegg
P47,0.058029,all,kegg
Q47,0.095969,all,kegg
R47,0.090708,all,kegg
S47,0.047475,all,kegg
T47,0.021798,all,kegg
U47,0.047614,all,kegg
V47,0.111262,all,kegg
W47,0.157249,all,kegg
X47,0.074273,all,kegg
Y47,0.126075,all,kegg
Z47,0.059659,all,kegg
A48,0.024524,all,kegg
B48,0.070242,all,kegg
C48,0.055178,all,kegg
D48,0.068424,all,kegg
E48,0.056854,all,kegg
F48,0.02929,all,kegg
G48,0.037946,all,kegg
H48,0.031974,all,kegg
I48,0.055178,all,kegg
J48,0.06639,all,kegg
K48,0.032726,all,kegg
L48,0.018419,all,kegg
M48,0.063367,all,kegg
N48,0.093174,all,kegg
O48,0.021305,all,kegg
P48,0.048642,all,kegg
Q48,0.019837,all,kegg
R48,0.022574,all,kegg
S48,0.030067,all,kegg
T48,0.023062,all,kegg
U48,0.025958,all,kegg
V48,0.027741,all,kegg
W48,0.037662,all,kegg
X48,0.068424,all,kegg
Y48,0.058199,all,kegg
Z48,0.038989,all,kegg
A49,0.036205,all,kegg
B49,0.047544,all,kegg
C49,0.077297,all,kegg
D49,0.019724,all,kegg
E49,0.044015,all,kegg
F49,0.028315,all,kegg
G49,0.029605,all,kegg
H49,0.029539,all,kegg
I49,0.037044,all,kegg
J49,0.031058,all,kegg
K49,0.05461,all,kegg
L49,0.052968,all,kegg
M49,0.056854,all,kegg
N49,0.058029,all,kegg
O49,0.032157,all,kegg
P49,0.038217,all,kegg
Q49,0.063113,all,kegg
R49,0.078615,all,kegg
S49,0.020458,all,kegg
T49,0.046651,all,kegg
U49,0.018717,all,kegg
V49,0.026027,all,kegg
W49,0.049756,all,kegg
X49,0.041809,all,kegg
Y49,0.031341,all,kegg
Z49,0.060436,all,kegg
A50,0.033695,all,kegg
B50,0.021798,all,kegg
C50,0.092956,all,kegg
D50,0.080956,all,kegg
E50,0.123718,all,kegg
F50,0.048698,all,kegg
G50,0.091641,all,kegg
H50,0.032894,all,kegg
I50,0.052136,all,kegg
J50,0.021579,all,kegg
K50,0.032726,all,kegg
L50,0.038989,all,kegg
M50,0.032157,all,kegg
N50,0.018926,all,kegg
O50,0.057889,all,kegg
P50,0.034204,all,kegg
Q50,0.047614,all,kegg
R50,0.106537,all,kegg
S50,0.087885,all,kegg
T50,0.140018,all,kegg
U50,0.047327,all,kegg
V50,0.090008,all,kegg
W50,0.035784,all,kegg
X50,0.049653,all,kegg
Y50,0.019054,all,kegg
Z50,0.018419,all,kegg
A51,0.036205,all,kegg
B51,0.038217,all,kegg
C51,0.029998,all,kegg
D51,0.045934,all,kegg
E51,0.030263,all,kegg
F51,0.024524,all,kegg
G51,0.086178,all,kegg
H51,0.081984,all,kegg
I51,0.106376,all,kegg
J51,0.037853,all,kegg
K51,0.07838,all,kegg
L51,0.027472,all,kegg
M51,0.038244,all,kegg
N51,0.01848,all,kegg
O51,0.022574,all,kegg
P51,0.029605,all,kegg
Q51,0.026027,all,kegg
R51,0.017544,all,kegg
T51,0.775908,twins,16s
V51,0.631403,twins,16s
X51,0.804468,twins,16s
Z51,0.827577,twins,16s
B52,0.651428,twins,16s
D52,0.867173,twins,16s
E52,0.654652,family,16s
F52,0.744191,family,16s
I52,0.775908,family,16s
J52,0.654652,family,16s
K52,0.775908,family,16s
M52,0.744191,family,16s
O52,0.631403,family,16s
P52,0.887022,family,16s
Q52,0.631403,family,16s
S52,0.870926,family,16s
T52,0.887022,family,16s
U52,0.870926,family,16s
W52,0.366715,family,16s
X52,0.802001,family,16s
Z52,0.804468,family,16s
B53,0.802001,family,16s
D53,0.804468,family,16s
E53,0.366715,family,16s
F53,0.621898,family,16s
G53,0.441558,family,16s
I53,0.827577,family,16s
K53,0.441558,family,16s
M53,0.827577,family,16s
N53,0.621898,family,16s
P53,0.651428,family,16s
Q53,0.682289,family,16s
R53,0.651428,family,16s
T53,0.637627,family,16s
U53,0.682289,family,16s
V53,0.637627,family,16s
Y53,0.867173,family,16s
Z53,0.923241,family,16s
A54,0.867173,family,16s
C54,0.951356,family,16s
D54,0.923241,family,16s
E54,0.951356,family,16s
G54,0.837342,all,16s
H54,0.914249,all,16s
I54,0.811847,all,16s
J54,0.440256,all,16s
K54,0.636023,all,16s
L54,0.746265,all,16s
M54,0.772337,all,16s
N54,0.478107,all,16s
O54,0.639797,all,16s
P54,0.909867,all,16s
Q54,0.689883,all,16s
R54,0.597017,all,16s
S54,0.822927,all,16s
T54,0.810359,all,16s
U54,0.816934,all,16s
V54,0.389701,all,16s
W54,0.827603,all,16s
X54,0.710683,all,16s
Y54,0.737084,all,16s
Z54,0.676051,all,16s
A55,0.581668,all,16s
B55,0.833193,all,16s
C55,0.849696,all,16s
D55,0.295938,all,16s
E55,0.937814,all,16s
F55,0.476049,all,16s
G55,0.514348,all,16s
H55,0.612647,all,16s
I55,0.357616,all,16s
J55,0.494223,all,16s
K55,0.779358,all,16s
L55,0.919,all,16s
M55,0.956993,all,16s
N55,0.827002,all,16s
O55,0.924862,all,16s
P55,0.890577,all,16s
Q55,0.940853,all,16s
R55,0.870214,all,16s
S55,0.676071,all,16s
T55,0.922111,all,16s
U55,0.87695,all,16s
V55,0.807664,all,16s
W55,0.921396,all,16s
X55,0.823866,all,16s
Y55,0.904224,all,16s
Z55,0.934126,all,16s
A56,0.957148,all,16s
B56,0.904014,all,16s
C56,0.657983,all,16s
D56,0.799832,all,16s
E56,0.901675,all,16s
F56,0.833193,all,16s
G56,0.940853,all,16s
H56,0.876626,all,16s
I56,0.886731,all,16s
J56,0.771404,all,16s
K56,0.835486,all,16s
L56,0.898856,all,16s
M56,0.919837,all,16s
N56,0.772337,all,16s
O56,0.972522,all,16s
P56,0.962824,all,16s
Q56,0.926066,all,16s
R56,0.414346,all,16s
S56,0.745845,all,16s
T56,0.883143,all,16s
U56,0.849696,all,16s
V56,0.870214,all,16s
W56,0.849268,all,16s
X56,0.888236,all,16s
Y56,0.696664,all,16s
Z56,0.915638,all,16s
A57,0.926248,all,16s
B57,0.958074,all,16s
C57,0.478107,all,16s
D57,0.710237,all,16s
E57,0.850248,all,16s
F57,0.857595,all,16s
G57,0.778468,all,16s
H57,0.808406,all,16s
I57,0.667016,all,16s
J57,0.476049,all,16s
K57,0.87695,all,16s
L57,0.604139,all,16s
M57,0.950673,all,16s
N57,0.693132,all,16s
O57,0.747012,all,16s
P57,0.540013,all,16s
Q57,0.757987,all,16s
R57,0.689883,all,16s
S57,0.685305,all,16s
T57,0.737295,all,16s
U57,0.637535,all,16s
V57,0.705282,all,16s
W57,0.295938,all,16s
X57,0.676071,all,16s
Y57,0.876626,all,16s
Z57,0.849268,all,16s
A58,0.920055,all,16s
B58,0.604139,all,16s
C58,0.464963,all,16s
D58,0.651331,all,16s
E58,0.404791,all,16s
F58,0.479917,all,16s
G58,0.639797,all,16s
H58,0.917586,all,16s
I58,0.948957,all,16s
J58,0.96736,all,16s
K58,0.882478,all,16s
L58,0.827603,all,16s
M58,0.919,all,16s
N58,0.957148,all,16s
O58,0.962824,all,16s
P58,0.949443,all,16s
Q58,0.850248,all,16s
R58,0.900604,all,16s
S58,0.907856,all,16s
T58,0.796688,all,16s
U58,0.805852,all,16s
V58,0.914249,all,16s
W58,0.565236,all,16s
X58,0.846839,all,16s
Y58,0.617692,all,16s
Z58,0.783138,all,16s
A59,0.389701,all,16s
B59,0.779358,all,16s
C59,0.934126,all,16s
D59,0.972522,all,16s
E59,0.926946,all,16s
F59,0.710237,all,16s
G59,0.530049,all,16s
H59,0.650181,all,16s
I59,0.440478,all,16s
J59,0.412251,all,16s
K59,0.837342,all,16s
L59,0.530049,all,16s
M59,0.900604,all,16s
N59,0.333276,all,16s
O59,0.760693,all,16s
P59,0.514348,all,16s
Q59,0.807664,all,16s
R59,0.771404,all,16s
S59,0.696664,all,16s
T59,0.464963,all,16s
U59,0.912298,all,16s
V59,0.693132,all,16s
W59,0.706344,all,16s
X59,0.66381,all,16s
Y59,0.545303,all,16s
Z59,0.597017,all,16s
A60,0.846839,all,16s
B60,0.948957,all,16s
C60,0.576042,all,16s
D60,0.816824,all,16s
E60,0.737084,all,16s
F60,0.827002,all,16s
G60,0.657983,all,16s
H60,0.414346,all,16s
I60,0.737295,all,16s
J60,0.89967,all,16s
K60,0.778468,all,16s
L60,0.850305,all,16s
M60,0.839942,all,16s
N60,0.845356,all,16s
O60,0.440256,all,16s
P60,0.565236,all,16s
Q60,0.917586,all,16s
R60,0.499195,all,16s
S60,0.917326,all,16s
T60,0.710683,all,16s
U60,0.956993,all,16s
V60,0.904014,all,16s
W60,0.926066,all,16s
X60,0.685305,all,16s
Y60,0.952421,all,16s
Z60,0.857595,all,16s
A61,0.768957,all,16s
B61,0.797501,all,16s
C61,0.402053,all,16s
D61,0.811847,all,16s
E61,0.650181,all,16s
F61,0.907856,all,16s
G61,0.768957,all,16s
H61,0.850305,all,16s
I61,0.738994,all,16s
J61,0.38414,all,16s
K61,0.612647,all,16s
L61,0.921396,all,16s
M61,0.835486,all,16s
N61,0.915638,all,16s
O61,0.651331,all,16s
P61,0.938241,all,16s
Q61,0.747012,all,16s
R61,0.706344,all,16s
S61,0.822927,all,16s
T61,0.440478,all,16s
U61,0.796688,all,16s
V61,0.797501,all,16s
W61,0.839942,all,16s
X61,0.775359,all,16s
Y61,0.740723,all,16s
Z61,0.357616,all,16s
A62,0.823866,all,16s
B62,0.898856,all,16s
C62,0.926248,all,16s
D62,0.404791,all,16s
E62,0.93718,all,16s
F62,0.540013,all,16s
G62,0.66381,all,16s
H62,0.810359,all,16s
I62,0.412251,all,16s
J62,0.805852,all,16s
K62,0.402053,all,16s
L62,0.845356,all,16s
M62,0.559039,all,16s
N62,0.77635,all,16s
O62,0.494223,all,16s
P62,0.904224,all,16s
Q62,0.919837,all,16s
R62,0.958074,all,16s
S62,0.479917,all,16s
T62,0.9607,all,16s
U62,0.757987,all,16s
V62,0.545303,all,16s
W62,0.816934,all,16s
X62,0.617692,all,16s
Y62,0.96736,all,16s
Z62,0.499195,all,16s
A63,0.576042,all,16s
B63,0.676051,all,16s
C63,0.924862,all,16s
D63,0.799832,all,16s
E63,0.745845,all,16s
F63,0.637535,all,16s
G63,0.808406,all,16s
H63,0.333276,all,16s
I63,0.738994,all,16s
J63,0.775359,all,16s
K63,0.559039,all,16s
L63,0.636023,all,16s
M63,0.783138,all,16s
N63,0.882478,all,16s
O63,0.917326,all,16s
P63,0.816824,all,16s
Q63,0.581668,all,16s
R63,0.890577,all,16s
S63,0.901675,all,16s
T63,0.883143,all,16s
U63,0.705282,all,16s
V63,0.667016,all,16s
W63,0.760693,all,16s
X63,0.38414,all,16s
Y63,0.740723,all,16s
Z63,0.77635,all,16s
A64,0.746265,all,16s
B64,0.926946,all,16s
C64,0.949443,all,16s
D64,0.952421,all,16s
E64,0.89967,all,16s
F64,0.937814,all,16s
G64,0.922111,all,16s
H64,0.886731,all,16s
I64,0.888236,all,16s
J64,0.920055,all,16s
K64,0.950673,all,16s
L64,0.912298,all,16s
M64,0.938241,all,16s
N64,0.93718,all,16s
O64,0.9607,all,16s
P64,0.909867,all,16s
