,Otu19;Clostridiales(o),Otu37;Clostridiales(o),Otu28;Firmicutes(p),Otu44;Clostridiales(o),Otu25;Clostridiales(o),Otu18;Clostridiales(o),Otu23;Lactobacillus(g),Otu12;Lactobacillus(g),Otu30;Clostridiales(o),Otu24;Clostridiales(o),Otu5;Porphyromonadaceae(f),Otu29;Oscillibacter(g),Otu26;Ruminococcaceae(f),Otu2;Bacteroides(g),Otu3;Alistipes(g),Otu35;Clostridiales(o),Otu7;Porphyromonadaceae(f),Otu8;Porphyromonadaceae(f),Otu1;Porphyromonadaceae(f),Otu22;Blautia(g),Otu4;Porphyromonadaceae(f),Otu14;Porphyromonadaceae(f),Otu16;Bacteroidetes(p),Otu21;Clostridiales(o),Otu6;Porphyromonadaceae(f),Otu9;Lactobacillus(g),Otu17;Clostridiales(o),Otu11;Bacteroidales(o),Otu15;Barnesiella(g),Otu13;Porphyromonadaceae(f),Otu10;Bacteroidales(o),Otu27;Bacteroidales(o),Otu20;Turicibacter(g)
Otu000155,0.550775483,-0.203893042,0.185740906,-0.172636575,-0.120314741,0.090262532,0.400611146,0.399607735,-0.288831486,-0.13838862,0.349635003,-0.264903301,-0.091353764,0.374452977,0.093187485,-0.0266492,-0.051973712,-0.076580069,-0.046977277,-0.126005576,0.327845488,0.315631935,-0.226541078,-0.541835992,-0.350119844,0.270389648,-0.253398173,-0.462668564,-0.297342187,-0.455003509,-0.461341571,-0.438701044,-0.358307323
Otu000168,0.56508149,-0.195323709,0.178297573,-0.158777739,-0.113954409,0.094758208,0.406582646,0.406676043,-0.291144953,-0.142129304,0.365758873,-0.250936438,-0.088273969,0.378648244,0.092372276,-0.028941644,-0.05829813,-0.08203302,-0.054171622,-0.127336555,0.326065433,0.301924679,-0.237593698,-0.5305591,-0.362091667,0.265601796,-0.254587342,-0.47751208,-0.311810829,-0.471818289,-0.473572065,-0.452851781,-0.375608969
Otu000185,0.481199112,-0.107738886,0.168875553,-0.11924789,-0.153943256,0.150194153,0.541517268,0.317408341,-0.220297375,0.01476487,0.22936648,-0.277263115,-0.186409141,0.42415414,-0.039488257,-0.021254653,-0.231212568,-0.180160038,0.02108142,-0.015173056,0.216364672,0.063881117,-0.282978941,-0.378475247,-0.38358476,0.452275926,-0.198504424,-0.56205684,-0.311356218,-0.365656417,-0.450130502,-0.459961441,-0.298434401
Otu000207,0.570643466,-0.181930092,0.187677627,-0.149730274,-0.099044479,0.10777028,0.422834593,0.409558039,-0.279297544,-0.122666846,0.369681853,-0.231456495,-0.082969575,0.38791046,0.085881714,-0.029524965,-0.069766921,-0.092342894,-0.037056025,-0.120644329,0.329171602,0.311211034,-0.24498959,-0.518070298,-0.367029142,0.273583134,-0.255370194,-0.481387415,-0.318078382,-0.476940349,-0.485049547,-0.46004947,-0.381994519
Otu000232,0.552069902,0.217831909,0.158474233,0.22506056,0.23280559,0.30294386,0.438959663,0.156067608,0.009170453,-0.066869597,0.610577274,0.027558942,0.076337802,0.192092169,-0.174869706,0.084764772,-0.317283019,-0.348870077,-0.011399867,-0.082531347,-0.044051557,-0.004583608,-0.336127034,-0.209132785,-0.585457374,0.324407128,-0.370552002,-0.543830298,-0.471207119,-0.57864351,-0.547953215,-0.493723844,-0.502899104
Otu000233,0.623551336,0.19701418,0.150710406,0.136085025,0.190850598,0.321139796,0.493842867,0.174664818,-0.062179265,-0.077446705,0.564299577,-0.083646539,-0.040539915,0.368233145,-0.170137186,0.03981707,-0.327498079,-0.294422966,0.047953248,-0.044118524,0.036374459,-0.078441246,-0.363689816,-0.285714272,-0.610584529,0.3673518,-0.43247123,-0.647220134,-0.545268125,-0.611313459,-0.577820317,-0.577041734,-0.520022602
Otu000238,0.501632152,-0.064788604,0.129355429,-0.115358548,-0.066497593,0.166095321,0.379522335,0.352148836,-0.152728447,-0.089489931,0.355050763,-0.151890981,-0.049434584,0.280381321,0.021120294,0.043310865,-0.082122303,-0.101242733,-0.100654182,-0.093151855,0.172781603,0.145622649,-0.279974492,-0.397701668,-0.40839762,0.309656011,-0.251784546,-0.48349005,-0.381240745,-0.503619092,-0.513730373,-0.434731892,-0.368480186
Otu000255,0.574172747,-0.201948163,0.173227896,-0.15587828,-0.113000069,0.094819193,0.415910423,0.415655889,-0.281312403,-0.129999615,0.371167969,-0.259679529,-0.100120474,0.373785658,0.097539329,-0.023310793,-0.077307633,-0.092714407,-0.052606426,-0.113642984,0.318676608,0.296623208,-0.263668966,-0.535422186,-0.383341625,0.288023756,-0.28431748,-0.49461977,-0.332594993,-0.482162701,-0.487282785,-0.479043041,-0.389698903
Otu000258,0.559220721,-0.193577068,0.181557629,-0.147556429,-0.107843392,0.114333504,0.416745118,0.396365338,-0.27114768,-0.126356164,0.344704629,-0.243218256,-0.077136809,0.383657058,0.097838555,-0.00946454,-0.07499306,-0.089878948,-0.053249738,-0.099374307,0.311509764,0.304487199,-0.252022823,-0.50726025,-0.367417753,0.276441842,-0.255962104,-0.476497483,-0.317014607,-0.469584336,-0.47618456,-0.457794838,-0.370802606
Otu000261,0.506596559,-0.098782873,0.151727019,-0.178101581,-0.018744906,0.185690229,0.480636257,0.229262869,-0.234811435,-0.114378922,0.336683157,-0.322514066,-0.135436194,0.41068815,-0.071304453,0.075503994,-0.138352487,-0.137696911,0.081823867,-0.059454617,0.255159703,0.121547115,-0.231695058,-0.433208398,-0.372301465,0.463839067,-0.381714788,-0.509967969,-0.347725767,-0.467452446,-0.428575339,-0.479244175,-0.306023861
Otu000270,0.543325961,-0.095403937,0.14181134,-0.116777963,-0.051908999,0.148481926,0.387447462,0.354228075,-0.232554224,-0.161668236,0.447284057,-0.185217201,-0.019307773,0.327482445,0.033660524,0.027583282,-0.111629317,-0.132175275,-0.115390007,-0.07819489,0.203349053,0.153636522,-0.27591243,-0.455464978,-0.433066298,0.278605438,-0.272543539,-0.517729119,-0.368264512,-0.530718578,-0.511520143,-0.463946601,-0.430276516
Otu000271,0.4798196,0.002305596,0.195843923,-0.045395515,-0.002744608,0.160404933,0.394352596,0.170293393,-0.176616894,-0.244653331,0.575583986,-0.217194458,-0.028079632,0.309951169,-0.119661322,0.031401732,-0.213670423,-0.24799035,-0.056546414,-0.19671823,0.046585737,-0.037100052,-0.303633327,-0.282676042,-0.429767822,0.273661178,-0.363750384,-0.500507814,-0.34762771,-0.568125467,-0.433698896,-0.40147673,-0.304527996
Otu000272,0.512871668,0.02408023,0.171595524,0.080502299,0.061862625,0.141072954,0.389486317,0.29521659,-0.179802207,-0.163184956,0.537017975,-0.189728758,-0.007726633,0.351612402,-0.09796042,-0.005214936,-0.239611324,-0.291734355,-0.079552473,-0.161719517,0.127225922,0.126240182,-0.295687043,-0.328424457,-0.453356258,0.302726596,-0.269167503,-0.480463909,-0.380766861,-0.56126112,-0.504182603,-0.474355746,-0.390584111
Otu000273,0.537657252,-0.053143586,0.117782581,-0.043954736,-0.010219365,0.173828804,0.434030466,0.322565629,-0.17002463,-0.15528916,0.467086403,-0.170527298,0.003436356,0.343754472,-0.015277147,0.047310434,-0.155918282,-0.158875379,-0.11178112,-0.105162555,0.172508379,0.115027444,-0.313567523,-0.406516369,-0.474222314,0.339097083,-0.317168442,-0.547313202,-0.405114242,-0.563288014,-0.532595976,-0.491799118,-0.425379756
Otu000274,0.573414888,0.20743373,0.261101402,0.156948281,0.179632092,0.385084737,0.545244232,0.154011656,0.03680276,0.036246947,0.544506793,0.035054919,0.108168157,0.227787543,-0.048230857,0.027876025,-0.341718713,-0.370566122,-0.15209099,0.017265387,-0.086092617,-0.002285592,-0.305443517,-0.181998626,-0.562216058,0.314059388,-0.279228706,-0.576614354,-0.471004962,-0.576673749,-0.607058868,-0.534836608,-0.457543759
Otu000291,0.55532669,-0.076928723,0.176688105,-0.098414223,-0.036821563,0.177496656,0.398986248,0.328186532,-0.216086034,-0.136440509,0.438627222,-0.152077825,0.015304846,0.364485437,0.009055768,0.030407229,-0.111802195,-0.129943661,-0.094575954,-0.090291942,0.204967061,0.187150374,-0.25899169,-0.459613849,-0.43668613,0.28363451,-0.267937712,-0.525957821,-0.379415342,-0.526612149,-0.536583607,-0.477505279,-0.443688621
Otu000309,0.535029224,-0.122848176,0.168690404,-0.096275171,-0.071451887,0.139956166,0.40799355,0.394685189,-0.173940098,-0.048518465,0.350679691,-0.145924566,-0.028252074,0.329360117,-0.003656456,-0.000987252,-0.096019942,-0.115783903,-0.035727846,-0.116835176,0.262625914,0.25129679,-0.283188564,-0.440020814,-0.393159098,0.291480411,-0.23903432,-0.48858874,-0.368664651,-0.488957771,-0.507343376,-0.448672468,-0.381106875
Otu000319,0.534233966,-0.10088813,0.134192949,-0.130194675,-0.071677485,0.14087203,0.395454804,0.345016264,-0.241257722,-0.165618651,0.439288396,-0.195167187,-0.033678679,0.337367548,0.026753483,0.007665011,-0.088493819,-0.111100407,-0.101021165,-0.10501126,0.214950721,0.165416092,-0.255086962,-0.463955538,-0.413900219,0.286494774,-0.264650751,-0.503723165,-0.355252505,-0.511606471,-0.508369949,-0.45188882,-0.412527767
Otu000320,0.530878613,-0.111968145,0.132167754,-0.13843152,-0.077331328,0.130874278,0.397805898,0.348466793,-0.254096893,-0.171625718,0.436432383,-0.206264741,-0.04250086,0.335885368,0.036963954,0.009057806,-0.085409338,-0.107143294,-0.102317576,-0.098877851,0.220734166,0.167084018,-0.258953329,-0.467133975,-0.409915462,0.285429001,-0.271370979,-0.496072531,-0.346891722,-0.509063309,-0.494944964,-0.448850744,-0.405719399
Otu000321,0.541800174,-0.055940528,0.183681383,-0.088182563,-0.023106508,0.165385148,0.396774091,0.340630861,-0.221667022,-0.147895347,0.443281568,-0.147348542,-5.81E-05,0.334434585,-0.008588171,0.025896036,-0.113850097,-0.138195116,-0.092132247,-0.095424237,0.187741561,0.169812157,-0.258895267,-0.451722472,-0.431996985,0.278897445,-0.268129944,-0.511483197,-0.360529456,-0.523746432,-0.518653339,-0.450043335,-0.432080375
Otu000322,0.548456517,0.016471286,0.16374074,0.01650771,0.053446419,0.219032401,0.425446461,0.200895116,-0.188671632,-0.191085763,0.513956673,-0.199610636,0.00389831,0.362300968,-0.102505525,0.08406303,-0.198831366,-0.235517523,-0.013747922,-0.125504558,0.144335546,0.013009135,-0.2598965,-0.337258642,-0.467321665,0.335304069,-0.351606576,-0.512337436,-0.370899357,-0.562841586,-0.461596964,-0.466872077,-0.387805253
Otu000323,0.54693916,-0.058297371,0.193442053,-0.086012145,-0.025285982,0.159594976,0.399700348,0.337353751,-0.226856009,-0.135353618,0.446892859,-0.138625593,0.003919501,0.349816428,-0.017816311,0.013704111,-0.114702385,-0.136263431,-0.075047611,-0.107971776,0.207173376,0.192061463,-0.258745163,-0.459050102,-0.432008172,0.275271329,-0.275250798,-0.509760297,-0.360301838,-0.520980167,-0.520384858,-0.452034272,-0.437093691
Otu000327,0.539661233,-0.094927621,0.21267603,-0.107439823,-0.035791865,0.158970596,0.408802015,0.321012009,-0.203753656,-0.101722995,0.404798436,-0.192246749,-0.052661585,0.333506084,0.030116628,0.037421515,-0.160138882,-0.1502676,-0.056207925,-0.044171438,0.202627407,0.1932045,-0.264527212,-0.450329341,-0.413658585,0.344005184,-0.318643371,-0.494621433,-0.364765858,-0.508511966,-0.487574184,-0.448588955,-0.407576649
Otu000329,0.451425465,-0.032585682,0.1819855,-0.158795182,-0.054687617,0.177626986,0.544304577,0.254463979,-0.173264676,-0.004186523,0.236719539,-0.272624052,-0.129447891,0.384796591,-0.055449928,0.0747034,-0.169030252,-0.116965432,0.050232807,-0.079387318,0.173633174,0.078028667,-0.196417778,-0.39747527,-0.369950251,0.50639641,-0.33985238,-0.510288727,-0.322386774,-0.404937376,-0.45741396,-0.437085732,-0.283662554
Otu000338,0.523861617,-0.09721317,0.122108527,-0.153386282,-0.069992939,0.200342187,0.531533684,0.26720252,-0.202135184,-0.053882943,0.302232119,-0.284725051,-0.172239581,0.425910859,-0.088826153,0.042103549,-0.155945367,-0.139513415,0.078140698,-0.049584533,0.230424636,0.059714868,-0.236995797,-0.41633174,-0.405478795,0.488739153,-0.342373138,-0.532667138,-0.354817701,-0.44307785,-0.451941358,-0.489291666,-0.316159686
Otu000344,0.537583376,-0.14669854,0.168965883,-0.094572957,-0.088025206,0.122912311,0.549696271,0.279849024,-0.274115139,-0.016820441,0.360740761,-0.351870961,-0.206350507,0.438170232,-0.083828763,-0.067907106,-0.235744543,-0.205897527,0.110067334,-0.058788389,0.283495783,0.107288329,-0.307773805,-0.463489477,-0.410680359,0.487392538,-0.378916891,-0.509680398,-0.340663525,-0.43435057,-0.421384164,-0.468567463,-0.323494327
Otu000350,0.532854218,-0.085279129,0.225803534,-0.112421725,-0.044843123,0.161940092,0.392008622,0.308175085,-0.205818496,-0.102429389,0.408491589,-0.18049916,-0.035267855,0.330621528,0.025355171,0.027344215,-0.139719656,-0.14000603,-0.065195426,-0.059777841,0.193172836,0.190568808,-0.250474336,-0.454742548,-0.406818261,0.31564282,-0.291627763,-0.488611307,-0.357322329,-0.502065709,-0.487136501,-0.431170164,-0.399079641
Otu000374,0.55675336,-0.196571876,0.182001776,-0.163685996,-0.112445079,0.10030149,0.404519224,0.402555307,-0.280374709,-0.136886338,0.354905667,-0.251342718,-0.078143217,0.370611651,0.097188167,-0.012134009,-0.06192544,-0.086095497,-0.066125938,-0.110621456,0.313763267,0.297020289,-0.244560404,-0.526554223,-0.364470795,0.264829956,-0.250879476,-0.476612483,-0.310824361,-0.471237983,-0.472295356,-0.452386422,-0.369977829
Otu000377,0.559702231,-0.177704227,0.144055572,-0.169843099,-0.111632363,0.119891625,0.418137811,0.386391574,-0.231836035,-0.116723391,0.379601065,-0.235787968,-0.076546681,0.369625211,0.073224756,-0.002757729,-0.079394566,-0.099211495,-0.068186027,-0.1096348,0.291625171,0.249253274,-0.264618711,-0.503540692,-0.390060927,0.308171704,-0.25779888,-0.506560369,-0.358551989,-0.498454363,-0.515181179,-0.477486685,-0.390944837
Otu000396,0.545576448,-0.164139883,0.132959459,-0.175992992,-0.111559126,0.125102159,0.408519885,0.385104464,-0.211773335,-0.118056269,0.376978061,-0.233930686,-0.0799819,0.363403494,0.060293155,-0.000900002,-0.063035962,-0.087470181,-0.063145193,-0.122389444,0.275817449,0.242550712,-0.256406586,-0.498088525,-0.385379496,0.316493399,-0.250823006,-0.49983187,-0.354243873,-0.491957931,-0.517450599,-0.468092167,-0.378171926
Otu000424,0.466165326,-0.165612869,0.204272232,-0.164445326,-0.177434671,0.102285684,0.595560506,0.36364293,-0.234905619,0.097269684,0.204494514,-0.314125872,-0.222180304,0.416519982,-0.05379974,-0.036152076,-0.253439566,-0.192246091,0.063148162,-0.024148163,0.297897192,0.113095148,-0.293280188,-0.440536687,-0.356527403,0.513259691,-0.265926456,-0.503778765,-0.258123218,-0.338683914,-0.395506146,-0.452159238,-0.247445976
